consumer,resource,res.category,res.order,res.family,res.subfamily,res.genus,res.species,res.method,con.category,con.order,con.family,con.subfamily,con.genus,con.species,con.method,linkevidence,source.id
Galaxias,Nematode,Invertebrate,Nematoda,,,,,order,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Nematode,Invertebrate,Nematoda,,,,,order,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Nematode,Invertebrate,Nematoda,,,,,order,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Galaxias argenteus,Nematode,Invertebrate,Nematoda,,,,,order,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Paranephrops zealandicus,Nematode,Invertebrate,Nematoda,,,,,order,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Galaxias postvectis,Nematode,Invertebrate,Nematoda,,,,,order,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias postvectis,genus,,14
Galaxias,Nesameletus,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Nesameletus,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Nesameletus,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Galaxias southern,Nesameletus,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,5
Galaxias vulgaris,Nesameletus,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias vulgaris,genus,direct,5
Gobiomorphus breviceps,Nesameletus,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Salmo trutta,Nesameletus,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Paranephrops zealandicus,Nesameletus,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Gobiomorphus breviceps,Nesameletus,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,,15
Stenoperla prasina,Nesameletus ornatus,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,Nesameletus ornatus,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Galaxias,Neurochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Neurochorema,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Neurochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Neurochorema,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Neurochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Neurochorema,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Gobiomorphus breviceps,Neurochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Neurochorema,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Salmo trutta,Neurochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Neurochorema,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Anguilla dieffenbachii,Neuroptera,Invertebrate,Neuroptera,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Galaxias argenteus,Odonata ,Invertebrate,Odonata,,,,,order,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Paranephrops zealandicus,Odonata ,Invertebrate,Odonata,,,,,order,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Paranephrops zealandicus,Oecetis,Invertebrate,Trichoptera,Leptoceridae,,,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla dieffenbachii,Oecetis,Invertebrate,Trichoptera,Leptoceridae,,,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Gobiomorphus,Oeconesus,Invertebrate,Trichoptera,Oeconesidae,,Oeconesus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Oeconesus,Invertebrate,Trichoptera,Oeconesidae,,Oeconesus,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Anguilla dieffenbachii,Oeconesus,Invertebrate,Trichoptera,Oeconesidae,,Oeconesus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla,Oligochaetae,Invertebrate,Oligochaetae,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Oligochaetae,Invertebrate,Oligochaetae,,,,,order,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Oligochaetae,Invertebrate,Oligochaetae,,,,,order,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Gobiomorphus breviceps,Oligochaetae,Invertebrate,Oligochaetae,,,,,order,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Anguilla australis,Oligochaetae,Invertebrate,Oligochaetae,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Oligochaetae,Invertebrate,Oligochaetae,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Galaxias postvectis,Oligochaetae,Invertebrate,Oligochaetae,,,,,order,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias postvectis,genus,,14
Anguilla australis,Oligochaetae,Invertebrate,Oligochaetae,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,15
Anguilla dieffenbachii,Oligochaetae,Invertebrate,Oligochaetae,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,15
Anguilla,Olinga,Invertebrate,Trichoptera,Conoesucidae,,Olinga,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Olinga,Invertebrate,Trichoptera,Conoesucidae,,Olinga,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Olinga,Invertebrate,Trichoptera,Conoesucidae,,Olinga,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo trutta,Olinga,Invertebrate,Trichoptera,Conoesucidae,,Olinga,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Hudsonema aliena,Olinga,Invertebrate,Trichoptera,Conoesucidae,,Olinga,,genus,Invertebrate,Trichoptera,Leptoceridae,,Hudsonema,Hudsonema aliena,genus,,8
Anguilla dieffenbachii,Olinga,Invertebrate,Trichoptera,Conoesucidae,,Olinga,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Galaxias postvectis,Olinga,Invertebrate,Trichoptera,Conoesucidae,,Olinga,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias postvectis,genus,,14
Anguilla dieffenbachii,Olinga,Invertebrate,Trichoptera,Conoesucidae,,Olinga,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,15
Galaxias argenteus,Olinga feredayi,Invertebrate,Trichoptera,Conoesucidae,,Olinga,Olinga feredayi,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Archichauliodes diversus,Olinga feredayi,Invertebrate,Trichoptera,Conoesucidae,,Olinga,Olinga feredayi,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Galaxias argenteus,Oniscigaster wakefieldi,Invertebrate,Ephemeroptera,Oniscigastridae,,Oniscigaster,Oniscigaster wakefieldi,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Stenoperla,Orthocladiinae,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,2
Cheimarrichthys fosteri,Orthocladiinae,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Fish,Perciformes,Cheimarrichthyidae,,Cheimarrichthys,Cheimarrichthys fosteri,species,direct,5
Gobiomorphus breviceps,Orthocladiinae,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Salmo trutta,Orthocladiinae,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Galaxias southern,Orthocladinae,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,5
Galaxias brevipinnis,Orthocladinae,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias brevipinnis,genus,direct,5
Galaxias vulgaris,Orthocladinae,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias vulgaris,genus,direct,5
Stenoperla,Orthopsyche,Invertebrate,Trichoptera,Hydropsychidae,,Orthopsyche,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,4
Anguilla,Oxyethira,Invertebrate,Trichoptera,Hydroptilidae,,Oxyethira,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Oxyethira,Invertebrate,Trichoptera,Hydroptilidae,,Oxyethira,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Oxyethira,Invertebrate,Trichoptera,Hydroptilidae,,Oxyethira,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Oxyethira,Invertebrate,Trichoptera,Hydroptilidae,,Oxyethira,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Galaxias postvectis,Oxyethira,Invertebrate,Trichoptera,Hydroptilidae,,Oxyethira,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias postvectis,genus,,14
Gobiomorphus huttoni,Oxyethira,Invertebrate,Trichoptera,Hydroptilidae,,Oxyethira,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus huttoni,genus,,15
Galaxias brevipinnis,Oxyethira albiceps,Invertebrate,Trichoptera,Hydroptilidae,,Oxyethira,Oxyethira albiceps,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias brevipinnis,genus,direct,5
Gobiomorphus breviceps,Oxyethira albiceps,Invertebrate,Trichoptera,Hydroptilidae,,Oxyethira,Oxyethira albiceps,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Gobiomorphus cotidianus,Oxyethira albiceps,Invertebrate,Trichoptera,Hydroptilidae,,Oxyethira,Oxyethira albiceps,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus cotidianus,genus,direct,5
Galaxias argenteus,Oxyethira albiceps,Invertebrate,Trichoptera,Hydroptilidae,,Oxyethira,Oxyethira albiceps,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Galaxias brevipinnis,Paracalliope,Invertebrate,Amphipoda,Paracalliopiidae,,Paracalliope,,order,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias brevipinnis,genus,direct,5
Salmo trutta,Paracalliope,Invertebrate,Amphipoda,Paracalliopiidae,,Paracalliope,,order,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Paranephrops zealandicus,Paracalliope,Invertebrate,Amphipoda,Paracalliopiidae,,Paracalliope,,order,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla australis,Paracalliope,Invertebrate,Amphipoda,Paracalliopiidae,,Paracalliope,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Paracalliope,Invertebrate,Amphipoda,Paracalliopiidae,,Paracalliope,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Anguilla australis,Paraleptamphopus,Invertebrate,Amphipoda,Paraleptamphopidae,,Paraleptamphopus,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Paraleptamphopus,Invertebrate,Amphipoda,Paraleptamphopidae,,Paraleptamphopus,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Anguilla dieffenbachii,Paralimnophila,Invertebrate,Diptera,Tipulidae,,Paralimnophila,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Galaxias,Paranephrops,Invertebrate,Decapoda,Parastacidae,,Paranephrops,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Paranephrops,Invertebrate,Decapoda,Parastacidae,,Paranephrops,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Anguilla australis,Paranephrops,Invertebrate,Decapoda,Parastacidae,,Paranephrops,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Paranephrops,Invertebrate,Decapoda,Parastacidae,,Paranephrops,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Galaxias argenteus,Paranephrops zealandicus,Invertebrate,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Paranephrops zealandicus,Paratanytarsus,Invertebrate,Diptera,Chironomidae,Chironominae,Paratanytarsus,,family,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Galaxias argenteus,Paratya curvirostris,Invertebrate,Decapoda,Atyidae,,Paratyra,Paratya curvirostris,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Galaxias argenteus,Paroxyethira hendersoni,Invertebrate,Trichoptera,Hydroptilidae,,Paroxyethira,Paroxyethira hendersoni,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Paranephrops zealandicus,Paryoxethira,Invertebrate,Trichoptera,Hydroptilidae,,Paroxyethira,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla dieffenbachii,Paryoxethira,Invertebrate,Trichoptera,Hydroptilidae,,Paroxyethira,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Paryoxethira,Invertebrate,Trichoptera,Hydroptilidae,,Paroxyethira,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Paryoxethira,Invertebrate,Trichoptera,Hydroptilidae,,Paroxyethira,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Paranephrops zealandicus,Paucispinigera,Invertebrate,Diptera,Chironomidae,,,,family,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla,Pentaneurini,Invertebrate,Diptera,Chironomidae,Tanypodinae,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Anguilla australis,Perca,Fish,Perciformes,Percidae,,Perca,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Perca,Fish,Perciformes,Percidae,,Perca,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Galaxias argenteus,Philorheithrus,Invertebrate,Trichoptera,Philorheithridae,,Philorheithrus,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Gobiomorphus breviceps,Physa,Invertebrate,Mollusca,Physidae,,Physa,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Gobiomorphus cotidianus,Physa,Invertebrate,Mollusca,Physidae,,Physa,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus cotidianus,genus,direct,5
Salmo trutta,Physa,Invertebrate,Mollusca,Physidae,,Physa,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Anguilla dieffenbachii,Physastra,Invertebrate,Mollusca,Planorbidae,,Physastra,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Physastra,Invertebrate,Mollusca,Planorbidae,,Physastra,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Physastra,Invertebrate,Mollusca,Planorbidae,,Physastra,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Anguilla australis,Planorbis,Invertebrate,Mollusca,Planorbidae,,Planorbis,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Planorbis,Invertebrate,Mollusca,Planorbidae,,Planorbis,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Alloecentrella magnicornis,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Helicophidae,,Alloecentrella,Alloecentrella magnicornis,genus,,8
Hudsonema aliena,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Leptoceridae,,Hudsonema,Hudsonema aliena,genus,,8
Oeconesus maori,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Oeconesidae,,Oeconesus,Oeconesus maori,genus,,8
Oeconesus similis,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Oeconesidae,,Oeconesus,Oeconesus similis,genus,,8
Olinga feredayi,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Conoesucidae,,Olinga,Olinga feredayi,genus,,8
Pycnocentria sylvestris,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentria,Pycnocentria sylvestris,genus,,8
Triplectides obsoleta,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Leptoceridae,,Triplectides,Triplectides obsoleta,genus,,8
Triplectidina oreolimnetes,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Leptoceridae,,Triplectidina,Triplectidina oreolimnetes,genus,,8
Zelandopsyche,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Plecoptera,Gripopterygidae,,Zelandoperla,,genus,,8
Zelolessica cheira,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Helicophidae,,Zelolessica,Zelolessica cheira,genus,,8
Hydrobiosis parumbripennis,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,Hydrobiosis parumbripennis,genus,,9
Hydropsyche colonica,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Hydropsychidae,,Hydropsyche,Hydropsyche colonica,genus,,9
Anguilla dieffenbachii,Plant.material,Plant.material,Plant.material,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Plant.material,Plant.material,Plant.material,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Plant.material,Plant.material,Plant.material,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Anguilla,Plectrocnemia,Invertebrate,Trichoptera,Polycentropidae,,Plectrocnemia,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Plectrocnemia,Invertebrate,Trichoptera,Polycentropidae,,Plectrocnemia,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Plectrocnemia,Invertebrate,Trichoptera,Polycentropidae,,Plectrocnemia,,family,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Paranephrops zealandicus,Podaena,Invertebrate,Coleoptera,Hydraenidae,,Podaena,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla,Polypedilum,Invertebrate,Diptera,Chironomidae,Chironominae,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Polypedilum,Invertebrate,Diptera,Chironomidae,Chironominae,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
